4,110.00,0.00
9,52.48,110.00
13,110.00,37.73
18,110.00,32.22
22,110.00,0.00
27,101.33,110.00
42,109.88,110.00
62,110.00,0.00
78,0.00,110.00
95,0.00,110.00
112,110.00,0.00
130,110.00,0.00
147,110.00,0.00
164,110.00,0.00
183,0.00,110.00
200,0.00,110.00
218,0.00,110.00
235,110.00,0.00
253,110.00,0.00
271,0.00,110.00
288,0.00,110.00
306,110.00,0.00
324,110.00,0.00
341,110.00,0.00
359,110.00,0.00
376,0.00,110.00
395,0.00,110.00
412,110.00,0.00
430,110.00,0.00
448,110.00,0.00
465,110.00,0.00
483,110.00,0.00
500,110.00,0.00
519,110.00,0.00
536,0.00,110.00
553,0.00,110.00
571,0.00,110.00
589,110.00,0.00
607,110.00,0.00
624,110.00,0.00
642,110.00,0.00
660,110.00,0.00
677,110.00,0.00
695,110.00,0.00
713,110.00,0.00
731,110.00,0.00
748,0.00,110.00
765,0.00,110.00
784,0.00,110.00
801,0.00,110.00
819,0.00,110.00
836,0.00,110.00
855,0.00,110.00
872,0.00,110.00
889,0.00,110.00
907,0.00,110.00
925,0.00,110.00
943,0.00,110.00
960,0.00,110.00
978,0.00,110.00
996,110.00,0.00
1013,110.00,0.00
1032,110.00,0.00
1051,110.00,0.00
1070,110.00,0.00
1088,110.00,0.00
1106,110.00,0.00
1126,110.00,0.00
1144,110.00,0.00
1163,110.00,0.00
1182,110.00,0.00
1201,110.00,0.00
1219,0.00,110.00
1237,0.00,110.00
1257,0.00,110.00
1275,0.00,110.00
1294,0.00,110.00
1313,0.00,110.00
1332,110.00,0.00
1350,110.00,0.00
1369,110.00,0.00
1388,110.00,0.00
1406,110.00,0.00
1425,110.00,0.00
1443,110.00,0.00
1463,110.00,0.00
1481,110.00,0.00
1500,110.00,0.00
1519,110.00,0.00
1538,110.00,0.00
1556,110.00,0.00
1574,110.00,0.00
1594,0.00,110.00
1612,0.00,110.00
1631,0.00,110.00
1650,0.00,110.00
1669,0.00,110.00
1687,0.00,110.00
1705,0.00,110.00
1725,0.00,110.00
1743,0.00,110.00
1762,0.00,110.00
1781,110.00,0.00
1800,110.00,0.00
1818,110.00,0.00
1837,110.00,0.00
1856,110.00,0.00
1874,110.00,0.00
1893,0.00,110.00
1912,0.00,110.00
1931,0.00,110.00
1949,0.00,110.00
1968,0.00,110.00
1987,110.00,0.00
2005,110.00,0.00
2024,110.00,0.00
2042,110.00,0.00
2062,110.00,0.00
2080,110.00,0.00
2099,110.00,0.00
2118,110.00,0.00
2137,110.00,0.00
2155,110.00,0.00
2173,110.00,0.00
2193,110.00,0.00
2211,110.00,0.00
2230,110.00,0.00
2249,110.00,0.00
2268,0.00,110.00
2286,0.00,110.00
2304,0.00,110.00
2324,0.00,110.00
2342,0.00,110.00
2361,0.00,110.00
2380,0.00,110.00
2399,0.00,110.00
2417,110.00,0.00
2436,110.00,0.00
2455,110.00,0.00
2473,110.00,0.00
2492,110.00,0.00
2510,110.00,0.00
2530,110.00,0.00
2548,0.00,110.00
